This worksheet is to be completed in case the action is fully (tab 1a) or partly (tab 1b) cost-based ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
5.46 PT KGF - Impact and implementation monitoring ,Independent third-party monitoring contract to assess programme implementation quality and measure early impact indicators at the midpoint of the programme. Provides an objective assessment of progress against targets and validates PT KGF's internal monitoring data for the consortium MRV system.,"EUR 20,000 (single contract, Year 2).",,,,,,
5.47 PT KGF - Farmer training package (3 training sessions per farmer),"Per-farmer training delivery cost for PT KGF's 1,500 Lampung farmers receiving three structured training sessions in climate-smart agroforestry, soil health and sustainable production practices (Activity 2.1.3). The per-farmer rate covers training event logistics, materials, facilitator costs and refreshments beyond the Change Maker salaries already budgeted under 1.1.31.","EUR 6.50/farmer × 4,500 farmer-session units (1,500 farmers × 3 sessions) = EUR 29,250.",,,,,,
5.48 PT KGF - Community sessions packages (3 sessions for 2 communities),"Facilitated community dialogue sessions in PT KGF's two target Lampung communities to support ILM forum engagement, landscape plan validation, community by-law consultation and programme governance. Three sessions per community (inception, midterm, validation) produce the community engagement evidence base required for Output 1.2.","EUR 4,500/session × 6 sessions = EUR 27,000. Rate covers venue, facilitation, catering, transport support for community members and documentation.",,,,,,
5.49 PT KGF - Expert/Consultant vendor and market mapping,"Market survey and vendor mapping for PT KGF's supply chain development, identifying buyers, aggregators and processors for Lampung pepper and cocoa products and assessing green sourcing readiness. Data feeds into the green value chain model and green sourcing agreements (Output 3.2).","EUR 4.03/unit × 1,500 units = EUR 6,045.",,,,,,
"5.50 PT KGF - Field Equipment (uniforms, hat, t shirt, jacket, coat, boots)","Field equipment (uniforms, hats, t-shirts, jackets, boots) for PT KGF's Change Makers, Farm Officers, Data Officers and other field staff. Uniforms ensure field staff visibility, professionalism and safety during farm visits, community events and demo farm operations.","EUR 5/unit × 1,500 units = EUR 7,500.",,,,,,
5.51 PT KGF - Expert/Consultant - knowledge building of field staff on agroforesry and landscpae interventions ,"Expert-led knowledge-building sessions for PT KGF's field staff team on agroforestry science, landscape ecology and ILM approaches. Strengthens the technical capacity of Change Makers and field officers to deliver high-quality farmer training and credible landscape planning inputs.","EUR 2,000/unit × 5 units = EUR 10,000.",,,,,,
5.52 PT KGF - Project launch event in two selected communities in Lampung,"Formal project launch events in PT KGF's two target Lampung communities to introduce aGROWforests+, its objectives, partners and farmer engagement opportunities. Launch events build community trust, generate local buy-in and initiate farmer recruitment for training and incentive programmes.","EUR 3,000/event × 2 communities = EUR 6,000.",,,,,,
5.53 PT KGF - Learning events between fieldfacilitators,"Regular learning exchanges between PT KGF's Change Makers and field facilitators to share experiences, resolve field challenges, update on agroforestry techniques and strengthen peer learning. Six events over 3 years sustain continuous capacity development and quality of extension delivery.","EUR 1,000/event × 6 events = EUR 6,000.",,,,,,
5.54 PT KGF - Laboratory Testing,"Accredited laboratory testing of soil and produce quality samples from PT KGF's target farms and nurseries. Testing monitors soil health improvement trends, verifies compost quality and ensures produce meets premium market standards. Feeds directly into the MRV system's soil health indicators.","EUR 16.84/sample × 100 samples = EUR 1,684.",,,,,,
5.55 Verstegen - product branding and consumer engagement ,"Verstegen's consumer engagement activities linking verified programme outcomes to European consumer communication. Covers design and production of consumer-facing branded materials highlighting deforestation-free and sustainably produced pepper sourcing, and integration with Verstegen's blockchain transparency platform. Supports SWITCH-Asia Specific Objective 3 (responsible consumer choices). Activated in Year 3 when programme results are available for consumer claims.","EUR 12,000 (single contract, Year 3).",,,,,,
"5.56 WWF - Trainings,Meeting, Coordination, Workshop","WWF Indonesia's full portfolio of training, coordination, multi-stakeholder workshop and field event costs across Lampung and Aceh over 3 years. Covers facilitation of ILM forums (Output 1.2), landscape planning workshops (Output 1.1), training support for climate risk assessment and tenure mapping (Activities 1.1.1–1.1.4), and cross-consortium coordination meetings. Approximately 32 events per year across three provinces.","EUR 471/event × 96 events = EUR 45,216. Per-event rate covers venue, catering, facilitation materials and participant logistics.",,,,,,
"5.57 WWF -Agroforestry Demo Plot Input (Seeding, Organic fertilizer, land clearing, daily wages, etc. per HA) and nurserry development.","Inputs for agroforestry demo plot establishment and nursery development managed by WWF Indonesia across Lampung and Aceh landscapes, including seeding, organic fertiliser, land clearing (where applicable) and daily labour wages for plot establishment. These demo plots and nurseries complement PT KGF and Sucafina's field activities with landscape-scale agroforestry evidence sites linked to biodiversity corridor development (Activity 2.1.4 and Act. 1.2.2).","EUR 1,045/ha × 100 ha = EUR 104,500. Per-hectare rate covers seedlings, organic inputs, land preparation labour and basic establishment infrastructure.",,,,,,
5.58 Seedling & compost transportation ,Logistics costs for transporting agroforestry seedlings and compost from nurseries and composting facilities to individual farmer plots in PT CAN and PT KGF operational areas. Transportation of biological inputs is a significant operational cost in remote Bangka and Lampung landscapes and is essential to ensure timely delivery aligned with planting seasons.,"EUR 10/farmer × 1,250 farmers = EUR 12,500.",,,,,,
"Subtotal Other costs, services",,,,,,,,
6. Other (e.g. activities with their related visibility costs),,,,,,,,
6.1 FSTP – results-based premium payments to smallholder farmers,"Financial Support to Third Parties (FSTP) providing additional income to at least 1,250 smallholder farmers (pepper, coffee, cocoa) who verify adoption of agroforestry and sustainable production practices. Payments are structured as a price premium above standard market prices, directly linking farmer income improvement to on-farm performance. This mechanism operationalises Pillar C (Results-Based Finance) and demonstrates the Landscape Finance Approach model that aGROWforests+ is designed to scale. The FSTP incentivises practice adoption during the critical transition period when short-term income from monoculture may temporarily decline. The minimum 1,250 beneficiary target covers 25% of enrolled farmers, prioritising the earliest and most committed adopters. FSTP terms, eligibility criteria and verification protocols are defined in a dedicated FSTP framework consistent with EC FSTP requirements and submitted as part of the grant application.","EUR 200,000 total over 36 months. Average premium of approximately EUR 160/farmer/year for 1,250 verified farmers. Year 1: EUR 12,000 (inception tranche, pilot group of early adopters). Years 2–3: scaled payments based on annual verification of adoption rates by the Digital MRV system and independent field verification. Payment levels are calibrated to provide a meaningful income supplement (~10–15% above commodity price) sufficient to compensate transition costs without crowding out commercial incentives.",,,,,,
